Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cliff Barker,SG,29,INO,49,0,0,2.1,5.6,.372,0,0,0,2.1,5.6,.372,.372,1.5,2.2,.708,0,0,0,2.2,0,0,0,2.0,5.7
Leo Barnhorst,SF,25,CHS,67,0,0,2.6,7.4,.349,0,0,0,2.6,7.4,.349,.349,1.3,1.9,.698,0,0,0,2.1,0,0,0,2.9,6.5
Nelson Bobb,PG,25,PHW,57,0,0,1.4,4.4,.323,0,0,0,1.4,4.4,.323,.323,1.4,2.3,.626,0,0,0,0.8,0,0,0,1.7,4.2
Vince Boryla,SF,22,NYK,59,0,0,3.5,10.2,.340,0,0,0,3.5,10.2,.340,.340,3.5,4.5,.764,0,0,0,1.6,0,0,0,3.4,10.4
Bob Brannum,PF,23,SHE,59,0,0,4.0,12.2,.326,0,0,0,4.0,12.2,.326,.326,4.2,6.0,.690,0,0,0,3.5,0,0,0,4.7,12.1
Jim Browne,C,20,DNN,31,0,0,0.5,1.5,.354,0,0,0,0.5,1.5,.354,.354,0.4,0.9,.481,0,0,0,0.3,0,0,0,0.5,1.5
Walt Budko,PF,24,BLB,66,0,0,3.0,9.9,.304,0,0,0,3.0,9.9,.304,.304,3.0,4.0,.757,0,0,0,2.2,0,0,0,3.9,9.0
Bill Calhoun,SG,22,ROC,62,0,0,3.3,8.9,.377,0,0,0,3.3,8.9,.377,.377,2.4,3.3,.719,0,0,0,1.9,0,0,0,1.6,9.0
Bill Closs,SF,28,AND,64,0,0,4.4,14.0,.315,0,0,0,4.4,14.0,.315,.315,2.9,4.0,.718,0,0,0,2.5,0,0,0,3.0,11.8
Jack Coleman,PF,25,ROC,68,0,0,3.7,9.8,.377,0,0,0,3.7,9.8,.377,.377,1.3,1.8,.744,0,0,0,2.3,0,0,0,3.3,8.7
Dillard Crocker,PF,25,DNN,53,0,0,4.6,15.8,.292,0,0,0,4.6,15.8,.292,.292,4.4,6.0,.735,0,0,0,1.6,0,0,0,4.2,13.6
Bob Davies*,PG,30,ROC,64,0,0,5.0,13.9,.357,0,0,0,5.0,13.9,.357,.357,4.1,5.4,.752,0,0,0,4.6,0,0,0,2.9,14.0
Jerry Fleishman,SG,27,PHW,65,0,0,1.6,5.4,.289,0,0,0,1.6,5.4,.289,.289,1.4,2.3,.616,0,0,0,1.8,0,0,0,2.0,4.6
Joe Fulks*,PF,28,PHW,68,0,0,4.9,17.8,.278,0,0,0,4.9,17.8,.278,.278,4.3,6.2,.696,0,0,0,0.8,0,0,0,3.5,14.2
Vern Gardner,SG,24,PHW,63,0,0,5.0,14.5,.342,0,0,0,5.0,14.5,.342,.342,3.6,4.7,.767,0,0,0,1.9,0,0,0,3.7,13.5
Alex Groza,C,23,INO,64,0,0,8.1,17.0,.478,0,0,0,8.1,17.0,.478,.478,7.1,9.7,.729,0,0,0,2.5,0,0,0,3.5,23.4
Robert Hahn,C,24,CHS,10,0,0,0.4,1.3,.308,0,0,0,0.4,1.3,.308,.308,0.2,0.7,.286,0,0,0,0.1,0,0,0,1.7,1.0
Bill Henry,C,25,FTW,44,0,0,1.5,4.8,.311,0,0,0,1.5,4.8,.311,.311,1.9,2.8,.672,0,0,0,0.9,0,0,0,2.3,4.9
Joe Holland,SF,24,INO,64,0,0,2.3,7.1,.320,0,0,0,2.3,7.1,.320,.320,1.5,2.2,.690,0,0,0,2.0,0,0,0,3.4,6.1
Red Holzman*,PG,29,ROC,68,0,0,3.0,9.2,.330,0,0,0,3.0,9.2,.330,.330,2.1,3.1,.686,0,0,0,2.9,0,0,0,1.0,8.2
Arnie Johnson,SF,29,ROC,68,0,0,2.2,5.5,.396,0,0,0,2.2,5.5,.396,.396,2.9,4.3,.680,0,0,0,2.1,0,0,0,3.8,7.3
Ralph Johnson,PG,28,AND,35,0,0,3.8,12.2,.312,0,0,0,3.8,12.2,.312,.312,2.0,2.4,.855,0,0,0,3.0,0,0,0,3.2,9.6
Ralph Johnson,PG,28,FTW,32,0,0,3.4,11.0,.312,0,0,0,3.4,11.0,.312,.312,1.0,1.4,.717,0,0,0,2.1,0,0,0,3.0,7.9
Wah Wah Jones,PF,23,INO,60,0,0,4.4,11.8,.374,0,0,0,4.4,11.8,.374,.374,3.7,5.0,.751,0,0,0,3.2,0,0,0,4.0,12.5
Noble Jorgensen,C,24,SHE,54,0,0,4.0,11.4,.353,0,0,0,4.0,11.4,.353,.353,5.0,6.5,.766,0,0,0,1.7,0,0,0,3.7,13.0
George Kaftan,SF,21,BOS,55,0,0,3.6,9.7,.372,0,0,0,3.6,9.7,.372,.372,2.5,3.8,.654,0,0,0,2.6,0,0,0,1.7,9.7
Jack Kerris,PF,25,FTW,64,0,0,2.3,7.1,.327,0,0,0,2.3,7.1,.327,.327,2.5,3.9,.641,0,0,0,1.7,0,0,0,2.5,7.1
Walt Kirk,PG,25,AND,26,0,0,1.2,4.8,.248,0,0,0,1.2,4.8,.248,.248,2.2,3.2,.687,0,0,0,1.7,0,0,0,2.4,4.6
Lee Knorek,C,28,BLB,1,0,0,0.0,2.0,.000,0,0,0,0.0,2.0,.000,.000,0.0,0.0,0,0,0,0,0.0,0,0,0,4.0,0.0
Ron Livingstone,C,24,BLB,16,0,0,1.6,6.4,.245,0,0,0,1.6,6.4,.245,.245,2.2,2.9,.761,0,0,0,1.5,0,0,0,3.4,5.3
Ron Livingstone,C,24,PHW,38,0,0,3.6,12.6,.289,0,0,0,3.6,12.6,.289,.289,2.3,3.4,.664,0,0,0,3.1,0,0,0,5.4,9.6
John Mahnken,C,27,FTW,2,0,0,1.5,4.0,.375,0,0,0,1.5,4.0,.375,.375,0.5,1.5,.333,0,0,0,1.0,0,0,0,4.0,3.5
John Mahnken,C,27,BOS,24,0,0,1.8,7.0,.262,0,0,0,1.8,7.0,.262,.262,1.0,1.5,.639,0,0,0,1.8,0,0,0,3.1,4.6
Slater Martin*,PG,24,MNL,67,0,0,1.6,4.5,.351,0,0,0,1.6,4.5,.351,.351,0.9,1.4,.634,0,0,0,2.2,0,0,0,2.4,4.0
Dick McGuire*,PG,24,NYK,68,0,0,2.8,8.3,.337,0,0,0,2.8,8.3,.337,.337,3.0,4.6,.652,0,0,0,5.7,0,0,0,2.4,8.6
Ed Mikan,C,24,CHS,21,0,0,1.5,6.0,.244,0,0,0,1.5,6.0,.244,.244,2.1,2.8,.776,0,0,0,0.7,0,0,0,2.3,5.1
Ed Mikan,C,24,ROC,44,0,0,1.3,4.4,.299,0,0,0,1.3,4.4,.299,.299,1.1,1.4,.758,0,0,0,0.6,0,0,0,2.2,3.7
George Mikan*,C,25,MNL,68,0,0,9.5,23.5,.407,0,0,0,9.5,23.5,.407,.407,8.3,10.7,.779,0,0,0,2.9,0,0,0,4.4,27.4
Vern Mikkelsen*,PF,21,MNL,68,0,0,4.2,10.6,.399,0,0,0,4.2,10.6,.399,.399,3.2,4.2,.752,0,0,0,1.8,0,0,0,3.3,11.6
Murray Mitchell,C,26,AND,2,0,0,0.5,1.5,.333,0,0,0,0.5,1.5,.333,.333,0.0,0.0,0,0,0,0,1.0,0,0,0,0.5,1.0
Jim Nolan,C,22,PHW,5,0,0,0.8,4.2,.190,0,0,0,0.8,4.2,.190,.190,0.0,0.0,0,0,0,0,0.8,0,0,0,2.8,1.6
Red Owens,SG,24,AND,35,0,0,1.3,4.3,.291,0,0,0,1.3,4.3,.291,.291,0.8,1.2,.667,0,0,0,1.2,0,0,0,2.5,3.3
Johnny Payak,SG,23,PHW,17,0,0,0.7,1.9,.375,0,0,0,0.7,1.9,.375,.375,0.8,1.2,.619,0,0,0,0.5,0,0,0,1.1,2.2
Jim Pollard*,SF,27,MNL,66,0,0,6.0,17.3,.346,0,0,0,6.0,17.3,.346,.346,2.8,3.7,.764,0,0,0,3.8,0,0,0,2.2,14.7
Arnie Risen*,C,25,ROC,62,0,0,3.3,9.6,.344,0,0,0,3.3,9.6,.344,.344,3.4,5.2,.664,0,0,0,1.5,0,0,0,3.7,10.1
Kenny Rollins,PG,26,CHS,66,0,0,2.2,6.4,.342,0,0,0,2.2,6.4,.342,.342,1.0,1.3,.742,0,0,0,2.0,0,0,0,2.0,5.4
Ed Sadowski,C,34,PHW,17,0,0,2.8,9.0,.307,0,0,0,2.8,9.0,.307,.307,3.1,4.4,.693,0,0,0,2.3,0,0,0,3.7,8.6
Ed Sadowski,C,34,BLB,52,0,0,4.8,14.8,.328,0,0,0,4.8,14.8,.328,.328,4.3,5.7,.745,0,0,0,1.9,0,0,0,3.5,14.0
Pep Saul,SG,25,ROC,49,0,0,1.5,3.7,.404,0,0,0,1.5,3.7,.404,.404,0.7,1.0,.723,0,0,0,0.6,0,0,0,0.7,3.7
Milt Schoon,C,27,SHE,62,0,0,2.4,5.9,.410,0,0,0,2.4,5.9,.410,.410,3.2,4.8,.653,0,0,0,1.4,0,0,0,3.1,8.0
Howie Schultz,PF,27,AND,35,0,0,2.4,9.0,.263,0,0,0,2.4,9.0,.263,.263,3.3,4.6,.731,0,0,0,2.5,0,0,0,3.6,8.1
Howie Schultz,PF,27,FTW,32,0,0,3.0,11.1,.270,0,0,0,3.0,11.1,.270,.270,2.5,3.8,.648,0,0,0,2.5,0,0,0,3.7,8.5
George Senesky,PG,27,PHW,68,0,0,3.3,10.4,.320,0,0,0,3.3,10.4,.320,.320,2.3,3.3,.704,0,0,0,3.9,0,0,0,2.4,9.0
Odie Spears,SF,25,CHS,68,0,0,4.1,11.4,.357,0,0,0,4.1,11.4,.357,.357,2.3,3.4,.687,0,0,0,2.3,0,0,0,3.7,10.5
Brady Walker,PF,28,BOS,68,0,0,3.2,8.6,.374,0,0,0,3.2,8.6,.374,.374,1.1,1.7,.632,0,0,0,1.6,0,0,0,1.5,7.5
Paul Walther,SG,22,MNL,22,0,0,1.5,3.6,.400,0,0,0,1.5,3.6,.400,.400,0.5,1.0,.524,0,0,0,0.5,0,0,0,1.8,3.4
Paul Walther,SG,22,INO,31,0,0,2.6,6.8,.390,0,0,0,2.6,6.8,.390,.390,1.7,2.8,.591,0,0,0,1.5,0,0,0,2.7,7.0
Max Zaslofsky,SG,24,CHS,68,0,0,5.8,16.6,.351,0,0,0,5.8,16.6,.351,.351,4.7,5.6,.843,0,0,0,2.3,0,0,0,2.7,16.4
